iter	Passed	Remaining
0	144	288000
1	150	150245
2	163	109144
3	169	84419
4	176	70440
5	181	60202
6	187	53502
7	194	48398
8	199	44131
9	205	40828
10	209	37819
11	213	35330
12	217	33249
13	221	31490
14	227	30058
15	231	28725
16	245	28612
17	260	28648
18	267	27928
19	277	27442
20	284	26796
21	289	26053
22	294	25332
23	304	25068
24	311	24592
25	328	24944
26	359	26283
27	377	26557
28	386	26290
29	391	25676
30	396	25210
31	412	25366
32	423	25264
33	434	25105
34	440	24703
35	452	24707
36	458	24315
37	467	24129
38	471	23697
39	478	23424
40	484	23155
41	491	22922
42	520	23673
43	531	23638
44	536	23325
45	543	23083
46	549	22827
47	553	22517
48	560	22315
49	568	22154
50	579	22132
51	593	22217
52	611	22446
53	616	22200
54	628	22227
55	632	21973
56	640	21832
57	644	21594
58	653	21491
59	660	21342
60	671	21331
61	687	21498
62	704	21671
63	713	21594
64	721	21488
65	726	21275
66	738	21303
67	758	21544
68	771	21587
69	783	21604
70	790	21464
71	796	21332
72	801	21162
73	804	20934
74	817	20975
75	824	20876
76	848	21182
77	862	21250
78	868	21116
79	877	21067
80	882	20918
81	887	20756
82	897	20736
83	912	20814
84	920	20727
85	927	20636
86	931	20473
87	937	20372
88	945	20295
89	949	20143
90	957	20078
91	964	19995
92	975	19993
93	980	19874
94	984	19732
95	989	19617
96	993	19485
97	996	19349
98	1000	19210
99	1005	19104
100	1009	18989
101	1014	18871
102	1020	18797
103	1025	18703
104	1030	18605
105	1037	18533
106	1041	18433
107	1045	18318
108	1051	18244
109	1068	18355
110	1073	18267
111	1077	18165
112	1082	18079
113	1086	17981
114	1091	17884
115	1094	17777
116	1098	17677
117	1102	17589
118	1107	17507
119	1112	17427
120	1116	17337
121	1120	17240
122	1124	17154
123	1127	17062
124	1131	16971
125	1136	16901
126	1141	16840
127	1147	16778
128	1151	16696
129	1155	16616
130	1159	16539
131	1163	16461
132	1169	16411
133	1173	16339
134	1177	16265
135	1181	16189
136	1185	16116
137	1189	16043
138	1195	16008
139	1204	16005
140	1210	15962
141	1215	15909
142	1221	15857
143	1231	15870
144	1236	15813
145	1241	15767
146	1245	15700
147	1249	15637
148	1253	15570
149	1257	15513
150	1275	15622
151	1280	15562
152	1283	15497
153	1287	15436
154	1291	15377
155	1296	15321
156	1301	15275
157	1306	15231
158	1310	15171
159	1314	15113
160	1318	15060
161	1325	15034
162	1334	15035
163	1344	15048
164	1349	15009
165	1353	14957
166	1358	14915
167	1363	14869
168	1373	14877
169	1383	14892
170	1389	14857
171	1397	14847
172	1401	14798
173	1406	14762
174	1411	14721
175	1416	14675
176	1420	14632
177	1427	14608
178	1431	14561
179	1441	14575
180	1446	14536
181	1451	14494
182	1456	14465
183	1461	14426
184	1466	14389
185	1470	14341
186	1475	14303
187	1478	14253
188	1484	14223
189	1489	14185
190	1494	14151
191	1498	14107
192	1501	14059
193	1504	14010
194	1508	13963
195	1512	13922
196	1517	13886
197	1523	13865
198	1531	13860
199	1536	13829
200	1549	13870
201	1565	13930
202	1576	13951
203	1585	13955
204	1597	13991
205	1604	13969
206	1633	14145
207	1639	14122
208	1644	14088
209	1651	14074
210	1659	14072
211	1675	14130
212	1683	14120
213	1692	14121
214	1704	14147
215	1716	14177
216	1723	14162
217	1730	14147
218	1738	14135
219	1743	14104
220	1747	14065
221	1753	14042
222	1760	14024
223	1764	13992
224	1770	13970
225	1776	13942
226	1780	13905
227	1787	13889
228	1791	13851
229	1794	13813
230	1799	13783
231	1807	13772
232	1812	13747
233	1821	13745
234	1827	13723
235	1832	13699
236	1836	13662
237	1845	13660
238	1866	13753
239	1872	13728
240	1876	13694
241	1880	13662
242	1885	13631
243	1889	13594
244	1893	13560
245	1897	13528
246	1904	13514
247	1910	13498
248	1915	13466
249	1921	13448
250	1924	13411
251	1929	13382
252	1933	13353
253	1938	13324
254	1941	13288
255	1945	13254
256	1950	13229
257	1954	13196
258	1958	13163
259	1962	13136
